	Insulin	Metformin	Antibiotics	Proton pump inhibitors	Ibuprofen	Paracetemol	Beta blockers	ACE inhibitors / ARBs 	Statins	Meditation	Salvinorin A	Salvia divinorum	DMT	Acacia species	LSD	Ergine	Argyreia nervosa	Diplopterys cabrerana	Psilocybin	Psilocin	Gymnopilus species	Ipomoea violacea	2C-T-x	2C-x	Mescaline	Lophophora williamsii	Mimosa species	Panaeolus species	Psilocybe species	Psychotria species	Turbina corymbosa	Virola species	Trichocereus species	DOx	DOI	25I-NBOMe	NBOMes	Benzodiazipines	Alprazolam	Diazepam	GBL	GHB	Alcohol	Amanita muscaria	Bufotenine	Anadenanthera species	5-MeO-xxT	5-MeO-DMT	Incillius alvarius	Phalaris species	Phyllomedusa bicolor	Tramadol	Mitragynine	Mitragyna speciosa	Opioids	Codeine	Heroin	Papaver species	Nitrous oxide	MXE	DXM	Ketamine	Cannabis species	Arecoline	Areca catechu	Caffeine	Camellia sinensis	Coffea species	Cola species	Duboisia hopwoodii	Ilex paraguariensis	Nicotine	Nicotiana species	Mesembrine	Sceletium species	Eugenol	Piper betle	MDMA	MDA	Safrole	Sassafras species	Myristicin	Myristica species	SSRIs	MAOIs	Harmalas	Harmaline	Harmine	Banisteriopsis caapi	Peganum harmala	Passiflora species	Kavalactones	Piper methysticum	Methcathinone	Mephedrone	Cathinones	Catha edulis	Methamphetamine	Amphetamines	Ephedrine	Ephedra species	Cocaine	Erythroxylum species	Levodopa	Mucuna pruriens	Ibogaine	Tabernanthe iboga	Tropanes	Hyoscyamine	Scopolamine	Brugmansia species	Datura species	
Psychotria species																														Psychotria species	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Psychotria species
Turbina corymbosa																															Turbina corymbosa	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Turbina corymbosa
Virola species																																Virola species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Virola species
Trichocereus species																																	Trichocereus species	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC			LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	Trichocereus species
DOx																																		DOx	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	DOx
DOI																																			DOI	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	DOI
25I-NBOMe																																				25I-NBOMe	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC			LC									LC	MC	MC	LC	MC	MC	MC	MC	25I-NBOMe
NBOMes																																					NBOMes	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	NBOMes
Benzodiazipines																																						Benzodiazipines	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Benzodiazipines
Alprazolam																																							Alprazolam	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	HC	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Alprazolam
Diazepam																																								Diazepam	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	HC	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Diazepam
GBL																																									GBL	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	GBL
GHB																																										GHB	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	GHB
Alcohol																																											Alcohol	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	HC	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Alcohol
Amanita muscaria																																												Amanita muscaria	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Amanita muscaria
Bufotenine																																													Bufotenine	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Bufotenine
Anadenanthera species																																														Anadenanthera species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Anadenanthera species
5-MeO-xxT																																															5-MeO-xxT	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	5-MeO-xxT
5-MeO-DMT																																																5-MeO-DMT	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC		MC	MC	MC	MC	MC	MC	LC	MC	MC		LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	5-MeO-DMT
Incillius alvarius																																																	Incillius alvarius	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Incillius alvarius
Phalaris species																																																		Phalaris species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Phalaris species
Phyllomedusa bicolor																																																			Phyllomedusa bicolor	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Phyllomedusa bicolor
Tramadol																																																				Tramadol	LC	MC	MC	MC	MC	MC	HC	MC	MC	HC	HC	MC		HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC			LC		HC	MC	MC	MC	MC	MC		LC	MC	MC	LC	MC	MC	MC	MC	Tramadol
Mitragynine																																																					Mitragynine	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Mitragynine
Mitragyna speciosa																																																						Mitragyna speciosa	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Mitragyna speciosa
Opioids																																																							Opioids	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	HC	HC	HC	HC	LC	HC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Opioids
Codeine																																																								Codeine	HC	MC	HC	MC	MC	HC	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Codeine
Heroin																																																									Heroin	MC	HC	MC	MC	HC	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Heroin
Papaver species																																																										Papaver species		MC	MC	MC	MC	MC	MC	HC	HC	HC	HC	LC	HC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Papaver species
Nitrous oxide																																																											Nitrous oxide	MC	MC	HC	MC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	Nitrous oxide
MXE																																																												MXE	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MXE
DXM																																																													DXM	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	DXM
Ketamine																																																														Ketamine	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Ketamine
Cannabis species																																																															Cannabis species	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Cannabis species
Arecoline																																																																Arecoline	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Arecoline
Areca catechu																																																																	Areca catechu	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Areca catechu
Caffeine																																																																		Caffeine	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Caffeine
Camellia sinensis																																																																			Camellia sinensis	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Camellia sinensis
Coffea species																																																																				Coffea species	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Coffea species
Cola species																																																																					Cola species	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Cola species
Duboisia hopwoodii																																																																						Duboisia hopwoodii	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Duboisia hopwoodii
Ilex paraguariensis																																																																							Ilex paraguariensis	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Ilex paraguariensis
Nicotine																																																																								Nicotine	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Nicotine
Nicotiana species																																																																									Nicotiana species	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Nicotiana species
Mesembrine																																																																										Mesembrine	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Mesembrine
Sceletium species																																																																											Sceletium species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Sceletium species
Eugenol																																																																												Eugenol	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Eugenol
Piper betle																																																																													Piper betle	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	HC	MC	HC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Piper betle
MDMA																																																																														MDMA	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	MDMA
MDA																																																																															MDA	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	MDA
Safrole																																																																																Safrole	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Safrole
Sassafras species																																																																																	Sassafras species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Sassafras species
Myristicin																																																																																		Myristicin	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Myristicin
Myristica species																																																																																			Myristica species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Myristica species
SSRIs																																																																																				SSRIs	MC	MC	MC	MC	MC	MC	LC	MC	MC			LC		HC		HC		HC		HC	LC	MC	MC	LC	MC	MC	MC	MC	SSRIs
MAOIs																																																																																					MAOIs	MC	MC	MC	MC		LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	MAOIs
Harmalas																																																																																						Harmalas	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Harmalas
Harmaline																																																																																							Harmaline	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Harmaline
Harmine																																																																																								Harmine	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Harmine
Banisteriopsis caapi																																																																																									Banisteriopsis caapi	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Banisteriopsis caapi
Peganum harmala																																																																																										Peganum harmala	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Peganum harmala
Passiflora species																																																																																											Passiflora species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Passiflora species
Kavalactones																																																																																												Kavalactones	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Kavalactones
Piper methysticum																																																																																													Piper methysticum	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Piper methysticum
Methcathinone																																																																																														Methcathinone	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Methcathinone
Mephedrone																																																																																															Mephedrone	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Mephedrone
Cathinones																																																																																																Cathinones	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Cathinones
Catha edulis																																																																																																	Catha edulis	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Catha edulis
Methamphetamine																																																																																																		Methamphetamine		HC	MC	HC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Methamphetamine
Amphetamines																																																																																																			Amphetamines	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Amphetamines
Ephedrine																																																																																																				Ephedrine	MC	HC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Ephedrine
Ephedra species																																																																																																					Ephedra species	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Ephedra species
Cocaine																																																																																																						Cocaine	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Cocaine
Erythroxylum species																																																																																																							Erythroxylum species	MC	LC	MC	MC	LC	MC	MC	MC	MC	Erythroxylum species
Levodopa																																																																																																								Levodopa	LC	MC	MC	LC	MC	MC	MC	MC	Levodopa
Mucuna pruriens																																																																																																									Mucuna pruriens	LC	LC	LC	LC	LC	LC	LC	Mucuna pruriens
Ibogaine																																																																																																										Ibogaine	MC	LC	MC	MC	MC	MC	Ibogaine
Tabernanthe iboga																																																																																																											Tabernanthe iboga	LC	MC	MC	MC	MC	Tabernanthe iboga
Tropanes																																																																																																												Tropanes	LC	LC	LC	LC	Tropanes
Hyoscyamine																																																																																																													Hyoscyamine	MC	MC	MC	Hyoscyamine
Scopolamine																																																																																																														Scopolamine	MC	MC	Scopolamine
Brugmansia species																																																																																																															Brugmansia species	MC	Brugmansia species
Datura species																																																																																																																Datura species	Datura species
	Insulin	Metformin	Antibiotics	Proton pump inhibitors	Ibuprofen	Paracetemol	Beta blockers	ACE Inhibitors / ARBs	Statins	Meditation	Salvinorin A	Salvia divinorum	DMT	Acacia species	LSD	Ergine	Argyreia nervosa	Diplopterys cabrerana	Psilocybin	Psilocin	Gymnopilus species	Ipomoea violacea	2C-T-x	2C-x	Mescaline	Lophophora williamsii	Mimosa species	Panaeolus species	Psilocybe species	Psychotria species	Turbina corymbosa	Virola species	Trichocereus species	DOx	DOI	25I-NBOMe	NBOMes	Benzodiazipines	Alprazolam	Diazepam	GBL	GHB	Alcohol	Amanita muscaria	Bufotenine	Anadenanthera species	5-MeO-xxT	5-MeO-DMT	Incillius alvarius	Phalaris species	Phyllomedusa bicolor	Tramadol	Mitragynine	Mitragyna speciosa	Opioids	Codeine	Heroin	Papaver species	Nitrous oxide	MXE	DXM	Ketamine	Cannabis species	Arecoline	Areca catechu	Caffeine	Camellia sinensis	Coffea species	Cola species	Duboisia hopwoodii	Ilex paraguariensis	Nicotine	Nicotiana species	Mesembrine	Sceletium species	Eugenol	Piper betle	MDMA	MDA	Safrole	Sassafras species	Myristicin	Myristica species	SSRIs	MAOIs	Harmalas	Harmaline	Harmine	Banisteriopsis caapi	Peganum harmala	Passiflora species	Kavalactones	Piper methysticum	Methcathinone	Mephedrone	Cathinones	Catha edulis	Methamphetamine	Amphetamines	Ephedrine	Ephedra species	Cocaine	Erythroxylum species	Levodopa	Mucuna pruriens	Ibogaine	Tabernanthe iboga	Tropanes	Hyoscyamine	Scopolamine	Brugmansia species	Datura species	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
LC	Low confidence																																																																																																																
MC	Medium confience																																																																																																																
HC	High confidence																																																																																																																
																																																																																																																	
