	Insulin	Metformin	Antibiotics	Proton pump inhibitors	Ibuprofen	Paracetemol	Beta blockers	ACE inhibitors / ARBs 	Statins	Meditation	Salvinorin A	Salvia divinorum	DMT	Acacia species	LSD	Ergine	Argyreia nervosa	Diplopterys cabrerana	Psilocybin	Psilocin	Gymnopilus species	Ipomoea violacea	2C-T-x	2C-x	Mescaline	Lophophora williamsii	Mimosa species	Panaeolus species	Psilocybe species	Psychotria species	Turbina corymbosa	Virola species	Trichocereus species	DOx	DOI	25I-NBOMe	NBOMes	Benzodiazipines	Alprazolam	Diazepam	GBL	GHB	Alcohol	Amanita muscaria	Bufotenine	Anadenanthera species	5-MeO-xxT	5-MeO-DMT	Incillius alvarius	Phalaris species	Phyllomedusa bicolor	Tramadol	Mitragynine	Mitragyna speciosa	Opioids	Codeine	Heroin	Papaver species	Nitrous oxide	MXE	DXM	Ketamine	Cannabis species	Arecoline	Areca catechu	Caffeine	Camellia sinensis	Coffea species	Cola species	Duboisia hopwoodii	Ilex paraguariensis	Nicotine	Nicotiana species	Mesembrine	Sceletium species	Eugenol	Piper betle	MDMA	MDA	Safrole	Sassafras species	Myristicin	Myristica species	SSRIs	MAOIs	Harmalas	Harmaline	Harmine	Banisteriopsis caapi	Peganum harmala	Passiflora species	Kavalactones	Piper methysticum	Methcathinone	Mephedrone	Cathinones	Catha edulis	Methamphetamine	Amphetamines	Ephedrine	Ephedra species	Cocaine	Erythroxylum species	Levodopa	Mucuna pruriens	Ibogaine	Tabernanthe iboga	Tropanes	Hyoscyamine	Scopolamine	Brugmansia species	Datura species	
Meditation										Meditation	LC	MC	MC	LC	MC	MC	HC	LC	HC	HC	LC	HC	LC	LC	HC	HC	HC	HC	HC	HC	HC	LC	HC	LC	LC	HC	LC	HC	HC	HC	HC	HC	HC	LC	LC	LC	LC	HC	LC	LC	LC	HC	LC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	HC	LC	LC	LC	HC	HC	HC	LC	LC	LC	LC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	HC	LC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	LC	HC	HC	HC	HC	Meditation
Salvinorin A											Salvinorin A	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Salvinorin A
Salvia divinorum												Salvia divinorum	MC	LC	MC	MC	MC	LC	MC	MC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Salvia divinorum
DMT													DMT	LC	MC	MC	MC	LC	MC	MC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	DMT
Acacia species														Acacia species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Acacia species
LSD															LSD	MC	MC	LC	MC	MC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	LSD
Ergine																Ergine	MC	LC	MC	MC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Ergine
Argyreia nervosa																	Argyreia nervosa	LC	MC	MC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	Argyreia nervosa
Diplopterys cabrerana																		Diplopterys cabrerana	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Diplopterys cabrerana
Psilocybin																			Psilocybin	MC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Psilocybin
