,LSD,Psilocybin,DMT,Mescaline,DOx,NBOMes,2C-x,2C-T-x,5-MeO-xxT,Cannabis,Ketamine,MXE,DXM,Nitrous ,Amphetamines,MDMA,Cocaine,Caffeine,Alcohol,GHB/GBL,Opiods,Tramadol,Benzodiazepine,MAOIs,SSRIs,Salvia divonorum,Acacia species,Mimosa tenuiflora,Panaelous cyanescens,Argyreia nervosa,Ipomea violacea,Rivea corymbosa,Amanita muscaria,Trichocereus species,Lophpopra willamsii,Incillius alvarius,Mitragyna speciosa,Papaver somnifarem,Banisteriopsis caapi,Piper methysticum,Catha edulis,Ephedra sinica,Eroxythylum coca,Phyllomedusa bicolor,Tabernathe iboga
Ipomea violacea,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRD,LRD,LRS,LRS,LRS,LRS,LRS,Ipomea violacea,LRS,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRS,LRNS,MR,MR,MR,MR,MR
Rivea corymbosa,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRD,LRD,LRS,LRS,LRS,LRS,LRS,LRS,Rivea corymbosa,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRS,LRNS,MR,MR,MR,MR,MR
Amanita muscaria,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRS,LRNS,LRNS,LRNS,LRNS,LRD,LRD,LRD,LRD,MR,MR,MR,MR,MR,MR,LRD,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,Amanita muscaria,LRNS,LRNS,LRMS,MR,MR,LRNS,MR,LRD,LRD,LRNS,MR,GR
Trichocereus species,LRS,LRS,LRS,LRS,MR,MR,MR,MR,MR,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,MR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,Trichocereus species,LRS,LRS,LRNS,LRNS,MR,MR,MR,MR,MR,MR,MR
Lophpopra willamsii,LRS,LRS,LRS,LRS,MR,MR,MR,MR,MR,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,MR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,Lophpopra willamsii,LRS,LRNS,LRNS,MR,MR,MR,MR,MR,MR,MR
Incillius alvarius,LRS,LRS,LRS,MR,MR,MR,MR,MR,LRS,MR,LRS,LRS,GR,LRS,GR,MR,GR,LRNS,LRD,LRD,LRNS,GR,LRD,SR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRMS,LRS,LRS,Incillius alvarius,LRNS,LRNS,SR,GR,MR,MR,MR,MR,GR
Mitragyna speciosa,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,SR,LRNS,LRNS,LRNS,LRS,SR,SR,MR,LRNS,LRS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,MR,LRNS,LRNS,LRNS,Mitragyna speciosa,GR,LRNS,GR,LRD,MR,SR,MR,SR
Papaver somnifarem,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRS,LRS,SR,SR,MR,LRNS,LRS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,MR,LRNS,LRNS,LRNS,GR,Papaver somnifarem,LRNS,GR,LRD,LRD,GR,GR,SR
Banisteriopsis caapi,LRD,LRS,LRS,MR,MR,MR,MR,MR,MAOIs,SR,MR,LRS,LRS,LRS,LRD,LRD,LRD,LRNS,MR,MR,SR,MR,MR,LRS,SR,LRNS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,MR,MR,SR,LRNS,LRNS,Banisteriopsis caapi,MR,GR,GR,GR,MR,SR
Piper methysticum,LRD,LRS,LRS,MR,MR,MR,MR,MR,SR,LRS,MR,LRS,LRS,LRD,LRD,LRD,MR,LRNS,MR,SR,MR,MR,LRS,LRS,SR,LRS,LRS,LRS,LRS,LRNS,LRNS,LRNS,MR,MR,MR,GR,GR,GR,MR,Piper methysticum,GR,GR,GR,GR,GR
Catha edulis,MR,MR,MR,MR,GR,GR,MR,GR,GR,MR,MR,MR,GR,LRS,MR,LRS,MR,MR,MR,MR,MR,SR,LRD,SR,LRNS,MR,MR,MR,MR,MR,MR,MR,LRD,MR,MR,MR,LRD,LRD,GR,GR,Catha edulis,MR,MR,MR,MR
Ephedra sinica,MR,MR,MR,MR,GR,GR,MR,GR,GR,MR,MR,MR,GR,LRS,LRS,LRS,MR,MR,MR,MR,MR,SR,LRD,SR,LRNS,MR,MR,MR,MR,MR,MR,MR,LRD,MR,MR,MR,MR,LRD,GR,GR,MR,Ephedra sinica,MR,MR,MR
Eroxythylum coca,MR,MR,MR,MR,GR,GR,MR,GR,GR,MR,MR,MR,GR,LRS,MR,MR,LRS,MR,GR,MR,SR,SR,LRD,SR,LRNS,MR,MR,MR,MR,MR,MR,MR,LRNS,MR,MR,MR,MR,SR,GR,GR,GR,MR,Eroxythylum coca,LRNS,MR
Phyllomedusa bicolor,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,MR,LRNS,LRNS,LRNS,LRS,LRS,LRNS,MR,MR,MR,SR,LRS,SR,SR,MR,LRNS,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,GR,MR,GR,MR,MR,LRNS,Phyllomedusa bicolor,SR
Tabernathe iboga,MR,MR,MR,MR,MR,MR,MR,MR,GR,MR,MR,MR,MR,MR,MR,GR,MR,MR,MR,MR,MR,GR,MR,SR,GR,LRS,MR,MR,MR,MR,MR,MR,GR,MR,MR,GR,SR,SR,SR,GR,MR,MR,MR,SR,Tabernathe iboga
